"Path","File","mfst","bld","inst","s10"
"","AUTHORS","X",,,"skip"
"","Artistic","X",,,"skip"
"","Changes","X",,,"skip"
"","Changes5.000","X",,,"skip"
"","Changes5.001","X",,,"skip"
"","Changes5.002","X",,,"skip"
"","Changes5.003","X",,,"skip"
"","Changes5.004","X",,,"skip"
"","Changes5.005","X",,,"skip"
"","Changes5.6","X",,,"skip"
"","Changes5.8","X",,,"skip"
"","Changes5.8.1","X",,,"skip"
"","Changes5.8.2","X",,,"skip"
"","Changes5.8.3","X",,,"skip"
"","Configure","X","X",,"skip"
"","Copying","X",,,"skip"
"","EXTERN.h","X","X","X","distrib"
"","INSTALL","X",,,"skip"
"","INTERN.h","X","X","X","distrib"
"","MANIFEST","X","X",,"skip"
"","META.yml","X",,,"skip"
"","Makefile",,"X",,"fwd"
"","Makefile.SH","X","X",,"skip"
"","Makefile.lib",,,,"fwd"
"","Makefile.micro","X",,,"skip"
"","Policy.sh",,"X",,"skip"
"","Policy_sh.SH","X","X",,"skip"
"","README","X",,,"skip"
"","README.Y2K","X","X",,"skip"
"","README.aix","X","X",,"skip"
"","README.amiga","X","X",,"skip"
"","README.apollo","X","X",,"skip"
"","README.beos","X","X",,"skip"
"","README.bs2000","X","X",,"skip"
"","README.ce","X","X",,"skip"
"","README.cn","X","X",,"skip"
"","README.cygwin","X","X",,"skip"
"","README.dgux","X","X",,"skip"
"","README.dos","X","X",,"skip"
"","README.epoc","X","X",,"skip"
"","README.freebsd","X","X",,"skip"
"","README.hpux","X","X",,"skip"
"","README.hurd","X","X",,"skip"
"","README.irix","X","X",,"skip"
"","README.jp","X","X",,"skip"
"","README.ko","X","X",,"skip"
"","README.machten","X","X",,"skip"
"","README.macos","X","X",,"skip"
"","README.macosx","X","X",,"skip"
"","README.micro","X","X",,"skip"
"","README.mint","X","X",,"skip"
"","README.mpeix","X","X",,"skip"
"","README.netware","X","X",,"skip"
"","README.orig",,"X",,"skip"
"","README.os2","X","X",,"skip"
"","README.os390","X","X",,"skip"
"","README.os400","X","X",,"skip"
"","README.plan9","X","X",,"skip"
"","README.qnx","X","X",,"skip"
"","README.solaris","X","X",,"skip"
"","README.tru64","X","X",,"skip"
"","README.tw","X","X",,"skip"
"","README.uts","X","X",,"skip"
"","README.vmesa","X","X",,"skip"
"","README.vms","X","X",,"skip"
"","README.vos","X","X",,"skip"
"","README.win32","X","X",,"skip"
"","Todo.micro","X",,,"skip"
"","XSUB.h","X","X","X","distrib"
